Issue_Description,Category,Subcategory,Assignment_group,Resolution_Notes
Compatibility Issues,Inquiry_Help,Internal Application,,Use SSAPI for limited IDE integration. Migrate to Azure Repos for seamless integration with modern tools.
No Branching/Merging Support,Inquiry_Help,Internal Application,,"Use labels as pseudo-branches. Migrate to Git, which supports lightweight branching and merging."
Security Vulnerabilities,Inquiry_Help,Internal Application,,"Restrict repository access via Windows file permissions. Migrate to Azure Devops or GitHub, Which offer role-based access control."
Performance issue in Oracle DB,Database,Oracle,Service Desk,"Performance issue in Oracle DB due high CPU usage in oracle DB due to inefficient query execution.
Resolution:
Execution plans optimized and indexes added.Post implementation system performance is normal."
Performance issues,Inquiry_Help,Internal Application,,Split large repositories into smaller projects. Use SourceOffsite (Third-Party tool)for better remote access performance. Upgrade to a distributed system like Git or mercurial.
webmail unable to access links,Password Reset,Webmail,Service Desk,"Issue:  webmail unable to access links

Resolution

1. Confirm the Email Provider:
Identified which email service you're using (e.g., Gmail, Outlook, Yahoo).

2. Initiate Password Reset:
Followed the specific password reset process for user email provider, which will take to recovery link.

Receiving the Email but Can't Access:
Verified the Link: Ensure the link in the reset email is valid and hasn't expired.
Clear Browser Cache/Cookies: Cached data can sometimes interfere with the reset process.

Able to open links in emails"
Poor Merge and Conflict Resolution,Inquiry_Help,Internal Application,Service Desk,Use third-party merge tools for conflict resolution. Migrate to a system like Git or TFVC with built-in merge tracking.
Lack of Atomic Commits,Inquiry_Help,Internal Application,Service Desk,"Avoid large check-in; break changes into smaller, manageable chunks. Sitch to a modern VCS Like GIT, which guarantees atomic commits"
File Corruption,Inquiry_Help,Internal Application,Service Desk,Use the Analyze.exe utility (included with sourcesafe) to detect and repair corruption. Restore from a backup if corruption is irreparable. Migrate to a modern version control system
VDI-TCS BOL W10 Desktop Pool-Slowness-1 User-India,Inquiry_Help,,,
Laptop keyboard randomly stops working,Hardware,Keyboard,Service Desk,"Troubleshooting steps:

Check for latest windows version, and keyboard drivers on your device
go to settings> windows update> update
go to device manager> keyboard> update the drivers

Search for find and fix keyboard problems on your device and run the troubleshooter to see if it can find any issues.

Also, connect an external keyboard to see if it stops working as well, if the external keyboard doesn't stop working then it is a hardware issue and you should get it replaced.

Replace Laptop
"
VDI Issues - Unable to connect to Server - 1user - Clonakilty Branch County Cork,Inquiry_Help,,,
VDI  - Delete fx logix profile - 1 User - Remote,Inquiry_Help,,,
Reset ServiceNow Password ,Password Reset,Reset,,Reset ServiceNow Password 
Office Software missing in new Laptop,Software,,Service Desk,"Issue:  Office Software missing in new Laptop

Resolution:
Inserted the disk 
Installed MS office
entered Product key
activated MS office

Able to open all office applications.

Issue resolved"
VDI - login error: connection failed - 1 user - Remote,Inquiry_Help,,,
Request for a Wireless Mouse ,Hardware,Mouse,,Helped customer with raising a request for a wireless mouse . 
Help with resetting ServiceNow Password,Password Reset,Reset,,password reset done on ServiceNow console . 
Customer is unable to open his Webmail (Outlook) ,Inquiry_Help,Internal Application,,"Used the right link to open the Webmail and it worked fine , Customer was using a wrong link ."
How to setup a Webex meeting,Inquiry_Help,Internal Application,Service Desk,Educated customer on how he can do it going forward and can avoid a call to the IT desk . Customer was happy with the same and no other issues reported .
Unable to Browse using Chrome,Inquiry_Help,,,"Issue: Unable to Browse using Chrome

Resolution:
Checked if user connected to Internet - Yes
Tried Browsing using Edge - Yes

Tried Browsing using Chrome - unable to browse.

Checked the offline settings in Browser and unchecked it.
Able to Browse using Chrome.

Issue resolved"
subscription Traps,Inquiry_Help,Internal Application,Service Desk,"Use Revo Uninstaller to remove the cleaner and leftover files, Switch to free/open-source alternatives."
Malware Disguised as cleaners,Inquiry_Help,Internal Application,Service Desk,"Scan with Malwarebytes or HitmanPro, Download tools only from official sites, Stick to reputable software."
False Positives,Inquiry_Help,Internal Application,Service Desk,"Review files before deletion, Whitelist important folders, Use tools with granular control, Like Treesize to manually inspect storage."
Performance Degradation,Inquiry_Help,Internal Application,Service Desk,"Uninstall the problematic cleaner, User task Manager to disable unnecessary startup processes, Switch to lightweight tools"
Registry Corruption,Inquiry_Help,Internal Application,Service Desk,"Avoid registry cleaners unless absolutely necessary, Use system Restore or repair the OS  via sfc/scannow in Command Prompt, Reinstall affected software"
Install MS Office Suite,Inquiry_Help,,,"Steps performed:

>>Shared the executable file to user's system

Took remote
>>Logged in as admin
>>Installed Office
>>After installation, assisted user to sign with Email address on one of the Office applications

User confirmed resolution"
Assistance with adding shared Calendar,Inquiry_Help,,,"Took Remote

>>Opened Outlook->Calendar
>>In user's calendar, select Add.
>>Click Choose From Address Book.
>>Typed in the  email address of the person user wanted to add
>>Selected their name.
>>Clicked OK.

Needed calendar was added "
Getting unexpected Browser redirects/pop-ups,Inquiry_Help,,,"Steps performed

>>Advised user not to click on any links
>>Removed recently added browser extensions
>> Reset browser settings

>>Guided user to raise a Security ticket in-case the issue continues after this.

User confirmed ticket  closure"
Outlook installation on Mobile device,Inquiry_Help,,,"Steps performed

>> Assisted user to setup MS Authenticator
>> Installed and configured Company portal app 
>>Guided user to install Outlook from the Company portal
>>Assisted user to login to outlook on Mobile device"
Unable to connect to VPN,Inquiry_Help,,,">> Restarted the VPN application and reconnected to the server
Issue persisted
>>Updated Network drivers
>>User was able to connect to VPN"
VDI Issue,Network,,Service Desk,"Issue:  VDI issue

Resolution:
Restarted the machine and VDI, updated the policy multiple times still facing the issue."
Unable to print,Inquiry_Help,,,"Steps performed

>>Restarted the printer and checked all cable connections
>>Set printer as the default device
>>User test printed a paper and was good to go"
Microphone is not working,Hardware,,Service Desk,"Issue: Microphone is not working

Resolution:
>>Restarted Laptop
>>Disabled and enabled microphone for all apps
>>Uninstalled Audio drivers 
>> restarted laptop to reinstall drivers

Issue resolved"
VDI issue,Inquiry_Help,,Service Desk,"VDI Issue - 1 user - remote

User can't able to access the VDI facing freezing issue while accessing post credentials window

Issue/Error message: User can't able to access the VDI facing freezing issue while accessing post credentials window

Issue description: User can't able to access the VDI facing freezing issue while accessing post credentials window
Troubleshooting steps: Restarted the machine and VDI, updated the policy multiple times still facing the issue.
Screenshot if any: cant able to capture the screenshot as user is facing the issue while accesing tomVDI


Closure confirmation via (Teams/call/chat/email): Email

Issue Resolved (Yes/No/NA) : Yes

Closure Reason: user confirmed that the issue was self resolved, hence closing the ticket with user confirmation"
Unable to connect to Internet via LAN,Inquiry_Help,,,">> Asked user to change to different port and check
Issue persisted
>>Asked user if he could try a different cable
>>User did not have a different cable
>>Assisted user to connect to Wi-Fi and replace faulty the LAN cable"
Unable to connect to Internet,Inquiry_Help,,,">> Checked if user is able to access internet on other devices
>>User told he's unable to access internet on any device
>>Guided user to restart Modem and try
>>User was still unable to connect

Asked user to reach out to Local ISP"
Application access issue,Inquiry_Help,,Service Desk,"'- DESCRIPTION -
User name : AXXXA

- OTHER INFORMATION REQUIRED -
Application: Donttell
Error Message (if applicable):
Include Screenshot (if applicable) yes
Number of users impacted:

- TROUBLESHOOTING -
Has the user recently rebooted: yes
Does the application work on another PC for user: Yes
Is the issue occurring during a certain time frame: NA
Has the user received this issue before: NA
If so, how frequently is it occurring: NA
When did the application last work for the user: Na
When was the user migrated to Windows 10: NA

-User trying to access it for the first time and user got the user name from the line manager 
-Tried accessing it from different Laptop/desktop its working fine but only on this laptop its showing the attached error
-kindly check the access once"
accidental Deletion of critical files,Inquiry_Help,Internal Application,Service Desk,"Restore from backups, Use system Restore to revert to a previous sate, Avoid aggressive cleaners, stick to trusted tools."
Outlook is not responding,Software,,Service Desk,"Issue:  Outlook is not responding

Resolution:
Checked network connectivity
Ran built in outlook repair and cleared cache.
Rebuilt the user profile.

User confirmed the issue is resolved"
Unable to login to VDI,Inquiry_Help,,Service Desk,"Unable to login to VDI

- OTHER INFORMATION REQUIRED -
Application:
Error message if any: 
Application Server: 
Infocus Server: 
batchwaste Server:
T: Drive Mapping:

- TROUBLESHOOTING -
Reset VDI Fixed the issue"
Unable to access sharepoint files,Inquiry_Help,,,"Steps performed

>>Checked if user has access
>>User did not have access
>> Asked user to request access by reaching out to the sharepoint owner

User good to go
"
Unable to access Citrix,Software,,Software,"Issue: Unable to access Citrix

Resolution:
>> Checked user did not have Citrix receiver
>> Installed Receiver 4.12 for Windows from www.citrix.com
>> Ran the exe file and installed Citrix receiver
>>Assisted user to login to Citrix

Issue Resolved"
Bitlocker Recovery Key,Inquiry_Help,,,">> Authenticated user with security questions
>> Provided user with 48 digit bitlocker recovery key
>>User was able to login to the machine

User good to go"
Outlook is not responding,Software,Email,Service Desk,"Checked network connectivity
Ran built in outlook repair and also cleared cache.
Rebuilt the user profile.

User confirmed the issue is resolved
"
Outlook unable to Open,Software,,Service Desk,"Issue:  Outlook unable to Open

Resolution:

Launch Outlook in safe mode by choosing one of the following options.
In Windows 10, choose Start, type Outlook.exe /safe, and press Enter.
Close Outlook and then open it normally.

Same issue continues.

Created a new user profile:

Close Outlook.
Windows 10, choose Start. Type Control Panel and press Enter. Choose User Accounts > Mail > Show Profiles.
Choose Add, and in the Profile Name box, type a profile name, and then choose OK.
Entered email address and a password for the primary email account you use in Outlook.
Once the profile is created, on the Show Profiles dialog, choose Prompt for a profile to be used.
Start Outlook and choose your new profile.

Opened new profile.
Able to open outlook.
Able to send receive email."
Unable to access Citrix,Inquiry_Help,,,">> Checked user did not have citrix receiver
>> Installed Receiver 4.12 for Windows from www.citrix.com
>> Ran the exe file and installed citrix receiver
>>Assisted user to login to citrix
"
The OS is experiencing slow performance,Software,Operating System,Service Desk,"Disabled unnecessary startup programs, cleared temp file and cache

User confirmed on the issue resolved"
Unable to Launch Outlook,Software,,Service Desk,"Issue: Unable to Launch Outlook

Resolution:

Tried opening Outlook - Unable to open

Opened Task Manager and ended the process. - Done.

Tried opening Outlook - Able to open Outlook.

Restarted Laptop and tried opening Outlook - Able to open Outlook.

Issue resolved"
Microphone is not working,Inquiry_Help,,,"Steps performed:

>>Restarted Laptop
>>Disabled and enabled microphone for all apps
>>Uninstalled Audio drivers 
>> restarted laptop to reinstall drivers

User good to go"
MS Teams issue,Software,Operating System,Service Desk,"Issue:  MS Teams issue

Resolution:

>>Force closed Teams from Task Manager and relaunched
Issue persists
>>Reinstalled Teams desktop application

User was able to sign-in
Issue resolved
"
System files are missing,Inquiry_Help,,Service Desk,"Identified missing system files through error messages and system diagnosis
Repaired corrupted or missing files
Rebooted the system and confirmed that the issue is resolved "
Teams installation,Inquiry_Help,,,"Steps performed:

>>Login to https://www.microsoft.com/
>>Download Teams for Windows
>>Installed the application using executable file
>>Assisted user to sign-in to Teams

User good to go"
Unable to access SAP application on VDI,Software,,Service Desk,"Issue: Unable to access SAP application on VDI

Resolution:

>>Saw user had multiple Citrix session
>>logged off user from Citrix
>>asked user to sign-in back and check

User able to open all applications in VDI.

Issue resolved"
Audit Cost and Complexity,Inquiry_Help,Internal Application,Service Desk,Adopt turnkey SAML integrations and compliance tools to reduce audit Preparation time by up to 80%
Excel Not responding,Software,,Service Desk,"Issue: Excel Not responding

Resolution:
>> Opened excel in safe mode. was able to open without any issues
>>Disabled COM-addins
>>Closed and relaunched excel

Able to open excel and work without any issues
Issue resolved
"
Application crashes,Software,Operating System,Service Desk,"1. Checked application logs and reviewed system for error messages
2. Reinstalled the application updated to latest version
3. Restarted the laptop and the application is working"
Google Chrome,Software,,Service Desk,"Issue: Google Chrome

Resolution:

>>Opened current browser - Edge
>> went to Google Chrome website.
>>Clicked Download Chrome and ran the installer.
>>Followed the on-screen instructions to complete the installation.
>> Set Chrome as your default browser

Able to open and browse Chrome.
issue resolved
"
Bluetooth headset not working.,Hardware,,,Connected remotely with user and started the Bluetooth services in the console
Outlook prompting for password multiple times,Inquiry_Help,,,">>Checked user's account was locked
>>Verified user and unlocked the account
>>Locked and unlocked the laptop with password

Outlook again prompted for password

checked user's account was locked frequently

cleared saved passwords on credential manager
tried again

User good to go"
Domain account Locked,Inquiry_Help,,,"Steps performed:

>>verified user with security questions
>>Unlocked account from AD
>> assisted user with password change as requested

User confirmed login"
Excel freezes/Not responding,Inquiry_Help,,,"Steps performed:

>> Opened excel in safe mode. was able to open without any issues
>>Disabled COM-addins
>>Closed and relaunched excel

User could access Excel without any issues"
Map Network Printer - Map Printer,Hardware,,Help Desk,"User called to get Printer mapped
Resolution:
added the MP in the AD profile and requested the user to try to sign in to printer after 2-3 hours"
Third-party system integration challenges,Inquiry_Help,Internal Application,Service Desk,Use pathlock or oracle Enterprise Data management to unify access policies and automate cross-application workflows
Unable to access SAP application on VDI,Inquiry_Help,,,"Steps performed:

>>Saw user had multiple citrix session
>>logged off user from citrix
>>asked user to sign-in back and check

User was able to access SAP application"
Limited User training and Data literacy,Inquiry_Help,Internal Application,Service Desk,Implement role-based training programs and self-service dashboards to empower users with intuitive reporting tools
Windows search is not working,Inquiry_Help,,,"Steps performed:

>> Restarted Laptop
Issue persists

>>Restarted Windows Search 
Press the Windows key and search for Services. Hit the Enter key.
Scroll down to Windows Search, right click and restart.

User checked and confirmed Search now works for him"
Manual Spreadsheet-Based Audits,Inquiry_Help,Internal Application,Service Desk,"Deploy GRC platforms to automate audit trails, monitor controls and correlate logs into actionable dashboards"
Lack of Granular Access Certification,Inquiry_Help,Internal Application,Service Desk,Use pathlocks automated certification workflows with did do activity insights to identify and revoke unnecessary access
Assistance with Webex Istallation,Inquiry_Help,,,"Steps performed:

>>Guided user to go to https://www.webex.com/
>>Click for Window 64 bit
>> Run the installer and follow on-screen instructions
>> Assisted user to sign to Webex

User good to go"
integration Broker Configuration Errors,Inquiry_Help,Internal Application,Service Desk,"Validate integration broker settings, ensure node authentication and configure portal context URI with terminating slashes"
Compliance with Evolving Regulations,Inquiry_Help,,Service Desk,"Adopt compliance automation platforms to map controls to regulations, monitor risks, and generate audit-ready evidence"
Password Reset,Inquiry_Help,,,"Helped user to reset password by using ctrl+alt+delete

Password reset done, hence resolving the ticket."
Teams Audio is not working,Inquiry_Help,,,"Steps performed:

>>Force closed Teams from Task Manager  and relaunched
Issue persists
>>Reinstalled Teams desktop application
User was able to sign-in
"
Data Security and Privacy Gaps,Inquiry_Help,Internal Application,Service Desk,"Implement row level security, dynamic dta masking, and activity logging. Tools like pathlock enforce real-time redaction based on risk indicators"
Unable to launch Teams,Inquiry_Help,,,"Steps performed:

>>Force closed Teams from Task Manager  and relaunched
Issue persists
>>Reinstalled Teams desktop application
User was able to sign-in
"
On-screen Keyboard is not loading,Inquiry_Help,,,"Steps performed:

>> Disabled and enabled  on-screen keyboard
No go
>>Asked user to reboot laptop
Issue persisted
>>Installed pending upgrades and restarted Laptop

User good to go"
Branch Issue -  MLA Error,Inquiry_Help,Internal Application,Service Desk,"Branch Issue - Link- MLA Error

- OTHER INFORMATION REQUIRED -
Application: Link
Error message if any:

Application Server: Link
T: Drive Mapping: Yes


- TROUBLESHOOTING -
1) How many users are affected?: 1
2) Has the user rebooted?: Ye
3)When is the user getting the error message? Today
4) Is it only this Workstation or have you tried on another? No
If user can work on other workstation provide that W/S detail?
5) N:/ ; M:/ ; T:/ and Q:/ drive are mapped on user's workstation? Yes
-as all the Drivers are not connected which is causing the MLA Error guided the user to double click on the network drives and service link is working now
-Link is not getting launched its not showing any error & remapped the T drive and issue got resolved"
Cursor stuck,Inquiry_Help,,,"Steps performed:

>>Checked if user is using a external mouse
>>Asked user disconnect the external mouse and try touchpad

Worked fine

>>Guided user to replace faulty mouse"
Unable to connect to VPN,Inquiry_Help,,,"Steps performed:

>>tried connecting using a different gateway
issue persisted
>> Reinstalled Cisco AnyConnect

User was able to connect to VPN"
Citrix stuck at launching,Inquiry_Help,,,"Steps Performed:

>>Signed out and signed in back
>>logged off user with citrix sessions
issue persisted

>>Resinstalled citrix receiver
User good to go"
Branch Issue - Application - Won't Launch,Inquiry_Help,Internal Application,Service Desk,"Branch Issue - Application - Won't Launch

- DESCRIPTION -

- OTHER INFORMATION REQUIRED -
Application: Notyet Know
Error message if any: Wont Launch

T: Drive Mapping: Yes

- TROUBLESHOOTING -
1) How many users are affected?: 1
2) Has the user rebooted?: yes
3)When is the user getting the error message? Wont launch
4) Is it only this Workstation or have you tried on another? No
If user can work on other workstation provide that W/S detail?
5) Is it issue particular to an application?
6) Is it issue occurring during a certain time frame/how frequently is the issue occurring?
7) Has user received this issue before? (Please include previous ticket no. if available)
8) When did the application last worked for user?
9) N:/ ; M:/ ; T:/ and Q:/ drive are mapped on user's workstation? T drive

User confirmation received:
Re Mapped T Drive and resolved the issue for the user"
Google chrome Installation,Inquiry_Help,,,"Steps performed

Took remote
>>Opened current browser 
>> went to Google Chrome website.
>>Clicked  Download Chrome and ran the installer.
>>Followed the on-screen instructions to complete the installation.
>> Set Chrome as your default browser

User confirmed resolution"
,,,,
PDF doesn't open properly,Inquiry_Help,,,"Issue: PDF doesn't open properly 

Steps performed:

>>PDF was launching in browser
>>Installed Adobe Acrobat Reader

User's issue was resolved
"
Password reset,Password Reset,Reset,,"Issue:

Resolution:

Confirm the Email Provider:
Identified which email service you're using (e.g., Gmail, Outlook, Yahoo).  - Outlook

Initiate Password Reset:
Followed the specific password reset process for user email provider, which will take to recovery link. 

Verify the Email:
Checked Spam/Junk Folders: The reset email might be mistakenly marked as spam or junk. 
Checked Mailbox Space: A full mailbox can prevent email delivery. 
Contact Support: If the email still doesn't arrive, reach out to your email provider's support team. 

Issue resolved.
"
inefficient reporting nd Data Extraction,Inquiry_Help,Internal Application,Service Desk,"User BI publisher or kibana for dynamic reporting, optimize SQL queries with indexing, and leverage third-party tools like spreadsheet server for real time GL to subledger drilldowns in excel"
MFA Setup,Inquiry_Help,,,"Steps performed:

>>Provided the link http://aka.ms/mfasetup and asked the user to open it on the browser.
 >>Asked user to open MS Authenticator on phone
>>Guided user To scan QR code from the mobile and ass Work account

User good to go
"
Set default browser as Chrome,Inquiry_Help,,,"Issue:Set default browser as Chrome

Steps performed:

>>Guided user to set chrome as default browser under Default apps
>>Also,  assisted user to set Adove as default for .pdf files

User good to go."
OS not booting properly or experiencing performance issue,Software,Operating System,Service Desk,"The OS was not booting due to corrupt system file
Troubleshooting
Using recovery tools to perform system repair
Restarted the system post recovery, OS booted successfully, and performance issue were resolved."
Citrix wont launch,Inquiry_Help,,,"Steps performed

>>tried sign-out and sign-in
issue persists
>>Logged off user from citrix sessions

User good to go"
Manual identity and Access governance,Inquiry_Help,Internal Application,Service Desk,"Automate identity governance with tools like path lock, which integrates with PeopleSoft to enforce least-privilege access, automate user onboarding/deprovisioning, and streamline access certifications using risk-based insights"
Low Disk space,Inquiry_Help,,,"Steps Performed:

>> Cleared temp files
>>Guided user to remove files/folder he no longer needs
>>Ran a disk cleanup

User good to go"
Outllok.com integration issues ,Inquiry_Help,Internal Application,Service Desk,Manually configure the account as IMAP/POP3 instead of using Microsoft account sync
Monitor issue,Inquiry_Help,,Service Desk,"Issue:  Monitor issue

Resolution:
>> Check for cable connections
>>Updated the display drivers
>>Enabled second monitor

User confirmed ; issue resolved"
MAPI errors ,Inquiry_Help,Internal Application,Service Desk,Run fixmapi.exe from the office installation directly 
Duplicate emails or contact  ,Inquiry_Help,Internal Application,Service Desk,Disable sync my device contacts in the teams mobile app
Laptop wont charge,Inquiry_Help,,,"Steps performed:

>>Asked user to unplug the charger, restart Laptop and try
issue continued
>> Asked user to undock from the docking station and try

User confirmed his Laptop charges now
Guided user to replace docking station."
Unable to obtain or conflict with IP address causing network connectivity issues,Network,IP Address,,"1. Identify the Type issue - DHCP failure
2. Basic troubleshooting to be done
3. Check IP configuration and Renew IP"
Search functionality failure ,Inquiry_Help,Internal Application,Service Desk,Rebuilt the search index via control panel> index o[ions> advanced> rebuild 
Email password reset,Password Reset,Reset,,"Issue: Email password reset

Resolution:

Confirmed the Email Provider:
Identified which email service you're using (e.g., Gmail, Outlook, Yahoo). 

Initiated Password Reset:
Followed the specific password reset process for user email provider, which will take to recovery link. 

Able to open email and able to send receive emails
Issue resolved"
External Monitor not detected,Inquiry_Help,,,"Steps preformed :

>> Check for cable connections
>>Updated the display drivers
>>Enabled second monitor

User confirmed resolution and was good to go"
Mailbox storage limits ,Inquiry_Help,Internal Application,Service Desk,"Archive old emails to reduce mailbox size, delete unnescessary items and empty the deleted items folder "
Attachments not opening ,Inquiry_Help,Internal Application,Service Desk,Use OneDrive links for large files instated of direct attachments
Keyboard not responding,Hardware,Keyboard,,Reconnected the device and checked for driver updates. Performed a system restart and verified functionality. Keyboard is now working as expected
L Key on the keyboard not responding (Laptop),Inquiry_Help,,Service Desk,Issue resolved by replacing the keyboard 
Persistent password prompts,Inquiry_Help,Internal Application,Service Desk,Update accounts settings to ensure remember password is enabled 
USB Device not recognized,Inquiry_Help,,,"Steps Performed:

>> Asked user to reboot Laptop 
Issue persisted
>>Tried with different USB ports

User was able to connect his USB device
"
Corrupted or oversized PST files. ,Inquiry_Help,Internal Application,Service Desk,"Use ScanPST.exe to repair minor corruption, Split large PST files by archiving old emails "
Internet connection issue,Network,IP Address,Service Desk,"Issue: Internet connection issue

Resolution:

Trouble shooting

Reset Network Settings:
Device: Reset user device's network settings.
Router: Reset the router to default settings (using the reset button on the back).

Update Firmware/Drivers:
Router: Update your router's firmware to the latest version.
Device: Ensured device drivers are up to date.

Issue resolved"
Outlook send or receive error ,Inquiry_Help,Internal Application,Service Desk,Verify SMTP/POP3 server settings and increase server timeout duration.  
Antivirus not functioning properly,Inquiry_Help,Antivirus,,Antivirus issue resolved by updating virus definitions and restarting the antivirus service.Verified that real-time protection is active and system scan completed successfully. No further issues observed.
Application Wont launch on edge,Inquiry_Help,,,"Steps performed:

>>tried launching on other browsers
>>Reset Edge settings
User was able to launch application as usual

User confirmed ticket resolution."
Outlook crasher on startup,Inquiry_Help,Internal Application,Service Desk,"Launch outlook in safe mode, Disable problematic add-ins via file > options > add-ins > COM  add-ins> GO"
Viewpoint performance degradation. ,Inquiry_Help,Internal Application,Service Desk,Full remove using specialized tools 
Viewpoint browser hijacking and updates ,Inquiry_Help,Internal Application,Service Desk,"Di=sable auto updates, manually remove files. "
Viewpoint privacy data collection ,Inquiry_Help,Internal Application,Service Desk,Remove toolbar and use anti malware tools 
Infinite spinner in adobe collaborations ,Inquiry_Help,Internal Application,Service Desk,"Opt out during install, unstill via control panel "
Infinite spinner in adobe collaborations ,Inquiry_Help,Internal Application,Service Desk,Ensure stable internet connection 
Wifi connectivity,Network,VPN,Service Desk,"Issue:  Wifi connectivity


Resolution:

Reset Network Settings:
Device: Reset user device's network settings.

Check with Your ISP:
Outages: Contacted internet service provider (ISP) to check for any outages in your area.
Account Issues: Ensured account is active and there are no billing issues. 

ISP outage

Informed to contact ISP
Issue resolved.
"
Slow rendering in adobe compare tool ,Inquiry_Help,Internal Application,Service Desk,Optimize documents or wait for permeance patch 
Unable to open any webpage,Inquiry_Help,Internal Application,,"Issue:  Unable to open any webpage

Resolution:

1. Verify Physical Connections:
Check cables:
Ensured all cables are plugged in securely and are the correct type for the speed you're using. 
Check hardware:
Verified all network devices (routers, switches, etc.) are powered on and functioning correctly. 

2. Restart Devices:
Modem/Router: Unplug and re-plug the modem and router to reset them.
Restart the device user is using (computer, phone, etc.). 

3. Check Wi-Fi Signal:
Moved closer to the router:
User using Wi-Fi, tried moving closer to the router to see if the signal strength improves.
Used a Wi-Fi extender:
Using a Wi-Fi extender to boost the signal to areas with poor coverage. 

4. Reset Network Settings:
Device: Reset user device's network settings.
Router: Reset the router to default settings (using the reset button on the back). 

Issue resolved
"
Accessibility issues with JAWS in adobe,Inquiry_Help,Internal Application,Service Desk,"Await adobe fix, use alternative tools "
Internet is intermittent,Network,VPN,Service Desk,"Issue: Internet is intermittent

Resolution:

1. Verify Physical Connections:
Check cables:
Ensured all cables are plugged in securely and are the correct type for the speed you're using. 
Check hardware:
Verified all network devices (routers, switches, etc.) are powered on and functioning correctly. 

2. Restart Devices:
Modem/Router: Unplug and re-plug the modem and router to reset them.
Restart the device user is using (computer, phone, etc.). 

3. Check Wi-Fi Signal:
Moved closer to the router:
User using Wi-Fi, tried moving closer to the router to see if the signal strength improves.
Used a Wi-Fi extender:
Using a Wi-Fi extender to boost the signal to areas with poor coverage. 


Issue resolved"
Internet is slow,Network,Wireless,Network,"Issue:  Internet is slow

Resolution:

1. Verify Physical Connections:
Check cables:
Ensured all cables are plugged in securely and are the correct type for the speed you're using. 
Check hardware:
Verified all network devices (routers, switches, etc.) are powered on and functioning correctly. 

2. Restart Devices:
Modem/Router: Unplug and re-plug the modem and router to reset them.
Restart the device user is using (computer, phone, etc.). 

Issue resolved"
Accessibility limitations ,Inquiry_Help,Internal Application,Service Desk,Upgrade macOS or terminate the process
Activation failuers ,Inquiry_Help,Internal Application,Service Desk,Connect to the internet and sign in on the startup screen .
Connectivity Issues,Network,Wireless,Network,"Issue:

Resolution:
Verify Physical Connections:

Check cables:
Ensured all cables are plugged in securely and are the correct type for the speed you're using. 

Check hardware:
Verified all network devices (routers, switches, etc.) are powered on and functioning correctly. 

Issue resolved"
Crash with pitstop pro plugin,Inquiry_Help,Internal Application,Service Desk,Disable or uninstall the plugin and relaunch acrobat.
